Year,Team Payroll,Avg Payroll,Diff,Team,W,L,WS WIN
2032,36714285,31695166,5019119,Padres,,162,0
2033,36714285,19357142,17357143,Padres,,162,0
2034,36714285,36714285,0,Padres,,162,0
2000,53342826,57491092,-4148266,Giants,97,65,0
2001,63289167,67120750,-3831583,Giants,90,72,0
2002,78514835,69204705,9310130,Giants,95,67,0
2003,81302167,72156639,9145528,Giants,100,62,0
2004,80400833,71426357,8974476,Giants,91,71,0
2005,88848833,73628169,15220664,Giants,75,87,0
2006,90017671,81192832,8824839,Giants,76,86,0
2007,89691052,85747487,3943565,Giants,71,91,0
2008,75877000,93079041,-17202041,Giants,72,90,0
2009,82566450,92957049,-10390599,Giants,88,74,0
2010,97023833,94957956,2065877,Giants,92,70,1
2011,118198333,97426414,20771919,Giants,86,76,0
2012,131980298,100689500,31290798,Giants,94,68,1
2013,136908777,106658387,30250390,Giants,76,86,0
2014,149439474,115428670,34010804,Giants,88,74,1
2015,173179277,125458486,47720791,Giants,84,78,0
2016,172086611,130290910,41795701,Giants,87,75,0
2017,180822611,136573000,44249611,Giants,64,98,0
2018,200505278,135681867,64823411,Giants,73,89,0
2019,170179653,134776225,35403428,Giants,77,85,0
2020,155190747,138277702,16913045,Giants,39,21,0
2021,149344778,129292854,20051924,Giants,107,55,0
2022,141512500,104982134,36530366,Giants,,162,0
2023,86000000,74824708,11175292,Giants,,162,0
2024,14000000,56659739,-42659739,Giants,,162,0
1990,150000,1203571,-1053571,Mariners,,162,0
1991,350000,1884642,-1534642,Mariners,,162,0
1992,1392500,2356071,-963571,Mariners,,162,0
1993,2625000,3410000,-785000,Mariners,,162,0
1994,3275000,3911904,-636904,Mariners,,162,0
1995,4425000,5208333,-783333,Mariners,,162,0
1996,6025000,4583416,1441584,Mariners,,162,0
1997,6275000,4892222,1382778,Mariners,,162,0
1998,6000000,6661904,-661904,Mariners,,162,0
2000,58760000,57491092,1268908,Mariners,91,71,0
2001,74518334,67120750,7397584,Mariners,116,46,0
2002,80082668,69204705,10877963,Mariners,93,69,0
2003,85599167,72156639,13442528,Mariners,93,69,0
2004,80299167,71426357,8872810,Mariners,63,99,0
2005,90162667,73628169,16534498,Mariners,69,93,0
2006,87353500,81192832,6160668,Mariners,78,84,0
2007,104555000,85747487,18807513,Mariners,88,74,0
2008,119080500,93079041,26001459,Mariners,61,101,0
2009,99582500,92957049,6625451,Mariners,85,77,0
2010,89443333,94957956,-5514623,Mariners,61,101,0
2011,96323191,97426414,-1103223,Mariners,67,95,0
2012,84778100,100689500,-15911400,Mariners,75,87,0
2013,84705043,106658387,-21953344,Mariners,71,91,0
2014,90239643,115428670,-25189027,Mariners,87,75,0
2015,123225843,125458486,-2232643,Mariners,76,86,0
2016,142330193,130290910,12039283,Mariners,86,76,0
2017,154318843,136573000,17745843,Mariners,78,84,0
2018,157903943,135681867,22222076,Mariners,89,73,0
2019,146498473,134776225,11722248,Mariners,68,94,0
2020,101257961,138277702,-37019741,Mariners,27,33,0
2021,81000900,129292854,-48291954,Mariners,90,72,0
2022,52510714,104982134,-52471420,Mariners,,162,0
2023,46285715,74824708,-28538993,Mariners,,162,0
2024,53535715,56659739,-3124024,Mariners,,162,0
2025,35000000,44734012,-9734012,Mariners,,162,0
2026,26000000,34194416,-8194416,Mariners,,162,0
1977,60000,60000,0,Cardinals,,162,0
1979,75000,48000,27000,Cardinals,,162,0
2000,62093023,57491092,4601931,Cardinals,95,67,0
2001,76903333,67120750,9782583,Cardinals,93,69,0
2002,74425875,69204705,5221170,Cardinals,97,65,0
2003,81365000,72156639,9208361,Cardinals,85,77,0
2004,81895000,71426357,10468643,Cardinals,105,57,0
2005,90948500,73628169,17320331,Cardinals,100,62,0
2006,89093658,81192832,7900826,Cardinals,83,79,1
2007,94366000,85747487,8618513,Cardinals,78,84,0
2008,99865500,93079041,6786459,Cardinals,86,76,0
2009,96298500,92957049,3341451,Cardinals,91,71,0
2010,94220500,94957956,-737456,Cardinals,86,76,0
2011,109098000,97426414,11671586,Cardinals,90,72,1
2012,111858500,100689500,11169000,Cardinals,88,74,0
2013,116505000,106658387,9846613,Cardinals,97,65,0
2014,111250000,115428670,-4178670,Cardinals,90,72,0
2015,122066500,125458486,-3391986,Cardinals,100,62,0
2016,145553500,130290910,15262590,Cardinals,86,76,0
2017,150152933,136573000,13579933,Cardinals,83,79,0
2018,159698667,135681867,24016800,Cardinals,881,-719,0
2019,162620267,134776225,27844042,Cardinals,91,71,0
2020,166101500,138277702,27823798,Cardinals,30,30,0
2021,156459167,129292854,27166313,Cardinals,90,72,0
2022,125796166,104982134,20814032,Cardinals,,162,0
2023,84666666,74824708,9841958,Cardinals,,162,0
2024,70500000,56659739,13840261,Cardinals,,162,0
2025,39500000,44734012,-5234012,Cardinals,,162,0
2026,22000000,34194416,-12194416,Cardinals,,162,0
2027,15000000,30469616,-15469616,Cardinals,,162,0
2000,62815129,57491092,5324037,Rays,69,93,0
2001,56725000,67120750,-10395750,Rays,62,100,0
2002,34380000,69204705,-34824705,Rays,55,107,0
2003,19130000,72156639,-53026639,Rays,63,99,0
2004,29754167,71426357,-41672190,Rays,70,92,0
2005,30445567,73628169,-43182602,Rays,67,95,0
2006,38319967,81192832,-42872865,Rays,61,101,0
2007,25790800,85747487,-59956687,Rays,66,96,0
2008,47124500,93079041,-45954541,Rays,97,65,0
2009,65401368,92957049,-27555681,Rays,84,78,0
2010,74487608,94957956,-20470348,Rays,96,66,0
2011,41901308,97426414,-55525106,Rays,91,71,0
2012,63626675,100689500,-37062825,Rays,90,72,0
2013,61928975,106658387,-44729412,Rays,92,70,0
2014,76872383,115428670,-38556287,Rays,77,85,0
2015,77294234,125458486,-48164252,Rays,80,82,0
2016,66681991,130290910,-63608919,Rays,68,94,0
2017,70612800,136573000,-65960200,Rays,80,82,0
2018,76007496,135681867,-59674371,Rays,90,72,0
2019,60084133,134776225,-74692092,Rays,96,66,0
2020,69303833,138277702,-68973869,Rays,40,20,0
2021,63714834,129292854,-65578020,Rays,100,62,0
2022,43137878,104982134,-61844256,Rays,,162,0
2023,17704545,74824708,-57120163,Rays,,162,0
2024,12454545,56659739,-44205194,Rays,,162,0
2025,9454545,44734012,-35279467,Rays,,162,0
2026,15454545,34194416,-18739871,Rays,,162,0
2027,22454545,30469616,-8015071,Rays,,162,0
2028,25454546,32844883,-7390337,Rays,,162,0
2029,25454546,28037847,-2583301,Rays,,162,0
2030,25454546,31977232,-6522686,Rays,,162,0
2031,25454546,30703993,-5249447,Rays,,162,0
2032,25454546,31695166,-6240620,Rays,,162,0
2033,2000000,19357142,-17357142,Rays,,162,0
2000,69920921,57491092,12429829,Rangers,71,91,0
2001,87819000,67120750,20698250,Rangers,73,89,0
2002,105876122,69204705,36671417,Rangers,72,90,0
2003,102531667,72156639,30375028,Rangers,71,91,0
2004,55302917,71426357,-16123440,Rangers,89,73,0
2005,56670500,73628169,-16957669,Rangers,79,83,0
2006,68894360,81192832,-12298472,Rangers,80,82,0
2007,70934240,85747487,-14813247,Rangers,75,87,0
2008,68081980,93079041,-24997061,Rangers,79,83,0
2009,76255380,92957049,-16701669,Rangers,87,75,0
2010,58490000,94957956,-36467956,Rangers,90,72,0
2011,96713370,97426414,-713044,Rangers,96,66,0
2012,127289900,100689500,26600400,Rangers,93,69,0
2013,125340100,106658387,18681713,Rangers,91,71,0
2014,133525939,115428670,18097269,Rangers,67,95,0
2015,143733540,125458486,18275054,Rangers,88,74,0
2016,150955390,130290910,20664480,Rangers,95,67,0
2017,165348063,136573000,28775063,Rangers,78,84,0
2018,133137626,135681867,-2544241,Rangers,67,95,0
2019,118274435,134776225,-16501790,Rangers,78,84,0
2020,151058666,138277702,12780964,Rangers,22,38,0
2021,99841250,129292854,-29451604,Rangers,60,102,0
2022,117533334,104982134,12551200,Rangers,,162,0
2023,85250000,74824708,10425292,Rangers,,162,0
2024,74000000,56659739,17340261,Rangers,,162,0
2025,71500000,44734012,26765988,Rangers,,162,0
2026,57500000,34194416,23305584,Rangers,,162,0
2027,57500000,30469616,27030384,Rangers,,162,0
2028,51500000,32844883,18655117,Rangers,,162,0
2029,31500000,28037847,3462153,Rangers,,162,0
2030,31500000,31977232,-477232,Rangers,,162,0
2031,31500000,30703993,796007,Rangers,,162,0
2000,45518332,57491092,-11972760,Blue Jays,83,79,0
2001,76322999,67120750,9202249,Blue Jays,80,82,0
2002,76464333,69204705,7259628,Blue Jays,78,84,0
2003,49679000,72156639,-22477639,Blue Jays,86,76,0
2004,49018000,71426357,-22408357,Blue Jays,67,95,0
2005,45801500,73628169,-27826669,Blue Jays,80,82,0
2006,69295000,81192832,-11897832,Blue Jays,87,75,0
2007,84315000,85747487,-1432487,Blue Jays,83,79,0
2008,104368800,93079041,11289759,Blue Jays,86,76,0
2009,81842100,92957049,-11114949,Blue Jays,76,86,0
2010,76189000,94957956,-18768956,Blue Jays,85,77,0
2011,70317800,97426414,-27108614,Blue Jays,81,81,0
2012,83739200,100689500,-16950300,Blue Jays,73,89,0
2013,127777800,106658387,21119413,Blue Jays,74,88,0
2014,137177700,115428670,21749030,Blue Jays,83,79,0
2015,125915800,125458486,457314,Blue Jays,93,69,0
2016,136782027,130290910,6491117,Blue Jays,89,73,0
2017,163381937,136573000,26808937,Blue Jays,76,86,0
2018,162037223,135681867,26355356,Blue Jays,73,89,0
2019,117546171,134776225,-17230054,Blue Jays,67,95,0
2020,108987471,138277702,-29290231,Blue Jays,32,28,0
2021,140375671,129292854,11082817,Blue Jays,91,71,0
2022,117428571,104982134,12446437,Blue Jays,,162,0
2023,112828573,74824708,38003865,Blue Jays,,162,0
2024,77166667,56659739,20506928,Blue Jays,,162,0
2025,66166667,44734012,21432655,Blue Jays,,162,0
2026,66166667,34194416,31972251,Blue Jays,,162,0
2027,24000000,30469616,-6469616,Blue Jays,,162,0
2028,24000000,32844883,-8844883,Blue Jays,,162,0
2005,48613000,73628169,-25015169,Nationals,81,81,0
2006,62520000,81192832,-18672832,Nationals,71,91,0
2007,37347500,85747487,-48399987,Nationals,73,89,0
2008,56261000,93079041,-36818041,Nationals,59,103,0
2009,59878000,92957049,-33079049,Nationals,59,103,0
2010,65275000,94957956,-29682956,Nationals,69,93,0
2011,70794429,97426414,-26631985,Nationals,80,82,0
2012,92534929,100689500,-8154571,Nationals,98,64,0
2013,121289679,106658387,14631292,Nationals,86,76,0
2014,137356579,115428670,21927909,Nationals,96,66,0
2015,162014559,125458486,36556073,Nationals,83,79,0
2016,145178886,130290910,14887976,Nationals,95,67,0
2017,164335444,136573000,27762444,Nationals,97,65,0
2018,180849056,135681867,45167189,Nationals,82,80,0
2019,197203691,134776225,62427466,Nationals,93,69,1
2020,173754795,138277702,35477093,Nationals,26,34,0
2021,172772247,129292854,43479393,Nationals,65,97,0
2022,89016667,104982134,-15965467,Nationals,,162,0
2023,62416667,74824708,-12408041,Nationals,,162,0
2024,70416666,56659739,13756927,Nationals,,162,0
2025,35000000,44734012,-9734012,Nationals,,162,0
2026,35000000,34194416,805584,Nationals,,162,0
